Name ,MCap (M),NVDR (Val),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG
EASON,"1,866","48,028.00",21.06,1.83,0.25,0.05,0.19,9.62,10.58,15.76,1.25,31.30,,538,476,1,1
EASTW,"19,299","-24,570.00",14.85,1.96,1.00,0.27,0.78,8.94,13.58,29.45,4.05,35.09,,386,404,2.37,3
ECF,"1,684","1,192.00",26.97,2.57,2.59,0.06,0.11,6.74,11.22,4.37,1.90,34.72,,583,636,1.42,2
ECL,"1,477","234,576.00",59.01,1.34,1.30,0.05,0.03,1.91,2.72,8.18,2.84,58.68,,881,899,4.97,1
EE,"3,058","863,894.00",,2.34,,,0,-10.59,-10.62,"-3,786.4",,32.86,,,,,2
EFORL,"1,931","-357,235.00",,2.00,4.94,,0,-15.55,-54.19,-16.37,,84.69,,,,,1
EGCO,"107,399","-6,074,404.00",12.91,1.31,1.40,3.25,15.8,6.91,10.45,26.91,3.19,38.33,,411,435,0.45,3
EIC,420,"560,766.00",,1.33,0.24,,0,-29.34,-37.02,-62.24,,73.50,,,,,
EKH,"3,720","52,610.00",49.43,4.73,0.11,0.10,0.13,15.72,14.8,14.7,1.56,55.94,,612,523,0.93,
EMC,928,"-5,260.00",,0.41,0.40,,0,-7.95,-11.25,-39.31,,60.52,,,,,
EPCO,"5,321","55,600.00",44.81,2.80,2.51,0.04,0.16,5.37,7.24,13.48,1.73,44.29,9.63,776,760,2.04,1
EPG,"35,840","-3,390,410.00",24.61,3.71,0.31,0.10,0.52,12.89,15.7,15.17,1.56,24.94,,476,437,0.4,1
ERW,"11,100","-901,676.00",30.25,2.25,2.00,0.06,0.15,6,7.63,6.48,1.35,44.57,,703,685,0.38,2
ESSO,"37,377","-4,691,964.30",5.62,1.80,1.83,,1.92,15.08,38.54,4.39,,34.01,,21,91,0.01,1
ESTAR,"3,666",,18.11,0.79,0.23,0.04,0.04,4.49,4.43,10.29,5.48,40.17,,638,600,-0.75,
ETE,"2,240","-516,860.00",71.85,,7.28,0.03,0.06,,,,0.78,41.23,,,,,
EVER,"2,564","-147,218.00",,0.92,0.88,,0,-1.47,-3.67,-9.44,,60.90,,,,,
F&D,302,,,0.53,0.78,,0,,,,,,,,,,
FANCY,"1,328","6,420.00",,0.99,0.29,,0,-8.11,-10.9,-20.13,,43.83,,,,,
FC,"1,097","12,690.00",,0.86,0.74,,0,-19.35,-28.59,-59.3,,66.09,,,,,
FE,"1,133",,10.71,1.08,0.52,6.00,14.09,8.71,10.49,12.72,4.08,18.32,,351,310,3.99,1
FER,"1,288","-22,105.00",,1.36,0.37,,0,-11.56,-16.67,-45.51,,86.62,,,,,1
FMT,"1,740",,9.92,1.21,0.96,2.00,3.66,8.49,12.75,3.12,5.37,23.01,,289,303,-0.19,
FN,"7,450","435,440.00",50.90,5.07,0.09,0.06,0.15,14.23,14.53,13.32,0.81,31.50,,616,547,,
FNS,"1,136","16,202.00",8.69,0.52,0.68,0.10,0.53,3.82,6.08,25.44,2.20,52.59,,412,423,0.11,
FOCUS,213,,"1,715.33",1.57,1.99,,0,2.28,0.09,0.04,,58.84,,981,939,60.84,1
FORTH,"6,576","34,720.00",17.97,3.36,2.17,0.17,0.38,11.54,18.87,6.73,5.00,36.13,,341,382,0.61,2
FPI,"6,024","-358,956.00",21.09,5.55,1.23,0.10,0.23,15.89,28.12,14.08,3.28,22.70,,314,350,0.47,2
FSMART,"14,080","-733,497.80",33.50,11.89,1.69,0.25,0.53,18.8,38.21,17.32,2.35,27.51,12.05,402,434,0.49,1
FSS,"1,698",,7.34,0.68,1.61,0.13,0.4,5.83,9.54,12.24,4.45,36.02,,313,340,0.16,1
FVC,728,"531,508.00",68.93,2.05,0.30,0.02,0.03,3.95,3.59,3.1,0.76,45.10,,880,846,-15.17,1
GBX,860,"-157,422.00",21.12,0.61,0.97,0.03,0.04,1.98,2.91,0.07,3.85,60.93,,701,722,0.37,2
GC,"1,060",,11.45,2.45,2.16,0.20,0.46,9.55,21.69,2.32,8.00,31.64,,186,309,1.49,2
GCAP,596,,14.44,1.78,1.66,0.11,0.21,8.66,12.46,27.05,5.07,73.50,,394,397,1.52,2
GEL,"2,645",,31.48,0.55,0.21,,0.02,1.83,1.78,4.99,,87.58,13.70,826,829,-0.83,1
GENCO,"1,281","42,867.00",,1.02,0.32,,0,-0.37,-1.89,-6.12,,71.82,,,,,
GFPT,"20,813","-4,075,060.00",12.66,1.95,0.50,0.30,1.31,12.59,16.45,9.45,1.90,44.19,,278,254,0.02,3
GIFT,"1,544","195,860.00",14.60,2.76,0.51,0.14,0.35,17.41,20.62,13.47,2.65,38.06,,272,244,0.56,1
GJS,"3,387","-29,284.00",,0.28,0.49,,0,1.1,-0.06,-0.06,,63.80,,,,,
GL,"30,053","53,395,802.40",28.25,3.58,1.04,0.16,0.7,9.02,13.31,36.41,0.88,44.40,,526,538,0.27,2
GLAND,"15,127","-17,664.00",13.60,1.41,1.41,0.20,0.19,8.21,10.4,30.86,9.71,14.45,,429,401,-0.01,1
GLOBAL,"59,999","21,944,049.60",40.14,3.69,0.72,0.17,0.41,7.95,9.59,7.68,1.00,32.20,,703,661,1.4,2
GLOW,"116,663","81,096,569.75",13.03,2.38,1.09,4.29,6.12,12.01,18.36,16.86,7.19,25.08,,268,288,0.57,2
GOLD,"15,453","83,220.00",14.77,1.10,1.06,0.23,0.45,5.41,9.39,9.36,3.48,15.81,,479,513,0.53,1
GPSC,"47,196","-333,225.00",17.48,1.27,0.52,0.70,1.8,6.02,7.38,12.39,3.65,24.89,,571,545,0.56,3
GRAMMY,"8,036",,,6.16,4.44,,0,-4.78,-33.3,-6.98,,21.77,,,,,3
GRAND,"2,456",-21.00,416.57,0.85,1.65,,0,1.66,0.2,0.41,,47.08,,974,959,-2.11,
GREEN,"1,022",,,1.44,0.04,,0,-14.79,-15.14,-24.15,,93.30,,,,,
GSTEL,"2,124",,,1.00,10.12,,0,-1.06,-39.07,-4.74,,77.93,,,,,1
GTB,"1,133","-71,390.00",15.54,1.82,0.51,,0.08,11.76,15.57,7.16,,22.75,,357,339,2.7,
GUNKUL,"31,540","-2,421,928.00",58.65,3.47,1.75,0.04,0.08,4.44,6.26,14.78,0.82,30.68,,822,817,0.38,2
GYT,"3,537",,12.65,0.88,0.31,20.00,37.78,6.81,7.05,7.14,4.39,19.75,,488,424,-0.07,1
HANA,"34,207","-8,871,407.75",16.25,1.71,0.19,1.00,2.62,9.59,10.69,10,4.79,46.55,,464,407,1.55,3
HARN,"1,403","-950,698.00",34.61,1.23,0.21,0.09,0.07,5.21,5.1,6.12,3.72,33.73,,777,725,-2.83,
HFT,"3,029","-48,760.00",8.97,1.18,0.17,0.10,0.51,14.45,13.8,13.2,2.18,47.09,,242,148,0.31,
HMPRO,"124,936","-13,002,115.00",30.29,7.14,1.96,0.15,0.31,11.34,23.99,6.75,2.86,43.69,,432,523,1.89,3
HOTPOT,918,,,7.53,4.64,,0,-14.3,-78.91,-7.17,,27.88,10.79,,,,2
